1st Choice Logistics LLC	FCOS
Albertsons Companies: Albertsons LLC	ABRN
Albertsons Companies: American Procurement & Logistics	ABRN
Albertsons Companies: CW Perham	ABRN
ALDO Group	S/O
Alfred J Blackburn	N/A
All Canadian Courier Corp.	ADUP
All Cartage Transportation, Inc.	ALCY
All Star Transportation Inc	ALSA
All State Express, Inc.	ASXA
All Truck Transportation Co. Inc.,	ALLC
Allegheny Recycled Products	ARPD
Allen Distribution	ALES
Alliance Express LLC	AQLL
Allied Brothers Intermodal, Inc.	ABIN
Alpha Trans Ltd.	APHN
Altendorf Express	ADFE
Altendorf Trucking: local	ADTB
Altendorf Trucking: OTR	ADTB
ALTL Inc	ALLM
Alto's Express, Inc.	ALEP
Altom Transport, Inc.	ATOI
AM International (TFI 11, S.E.C.): AM International	AMJO
AMC Express, Inc.	AMCM
Ameri-Co Carriers: Flat Bed	AIOE
Ameri-Co Carriers: Pneumatic	AIOE
Ameri-Co Carriers: Van	AIOE
America Midwest Transportation, LLC: Reefer	AMTA
America's Service Line, LLC	ASLO
American Cartage & Distribution LLC: amcd1	AMCD
American Central Transport, Inc.	ACRL
American Freight Corporation	AFCN
American Furniture Warehouse	AFWH
American Haulage Inc.	AHIQ
American National Logistics, Inc.	AOIE
American Pacific	AMPF
American Power LLC	APWR
American Transportation Management LLC	ANOD
American Transportation Nationwide of Wisconsin, I	ATQN
Americanstar Transport LLC	ANSO
AmeriCarrier, Inc.	ACIK
Americold Transportation Services: US	AEID
Amerifreight Systems LLC	AFGM
AmeriPride Services, Inc.: AmeriPride Services Inc.	N/A
AmeriPride Services, Inc.: Canadian Linen and Uniform Service Co	N/A
Ameritrans	AMDQ
Amistad Freight Lines, Inc.	AFGI
Anchor Bay Express LLC	AXBY
Andersen Distribution Inc., D.B.A. Andersen Logist	N/A
Anderson Transportation Co. Inc.: ANNN	ANNN
Anderson-Dubose Company: ADR NY Dist LLC	N/A
Anderson-Dubose Company: Lordstown	N/A
Andreucci Trucking Inc.	ADUC
Andrews Logistics, Inc	AWLO,ADRW
Andrey's Delivery Express LLC	ADEW
Andrus Transportation Services	ANJL
Andy Stieva Trucking Ltd.: Andy Stieva Trucking	STVH
ANL Transport Inc	ANAW
Ann Arbor Distribution Inc.	N/A
Any Time Service Co., Inc.	ANYS
AP Express	APXC
Apex Motor Express Ltd.	AXME
Apollo Express Inc	AOXE
Appalachian Freight Carriers, Inc.	APFC
APPS Transport Group	APXG
Arab Cartage & Express	ARCE
Arctic Express, Inc.: Truck-1	ARIE
ARD Express Inc.	ARXK
Ardwin Inc.	ADWF
Arens Inc.	ARND
Arfsten Transfer, Inc.	AENF
Ariel Garcia	N/A
Arko Exchange LLC	ARKX
ARL Transport, LLC	AIPA
Arlo G Lott Trucking Inc: bulk	LOAG
Arlo G Lott Trucking Inc: Flatbed	LOAG
Arlo G Lott Trucking Inc: heavy bulk	LOAG
Arlo G Lott Trucking Inc: heavy flatbed	LOAG
Arlo G Lott Trucking Inc: specialized - Heavy hopper	LOAG
Arlo G Lott Trucking Inc: specialized - side dump	LOAG
Armellini Express Lines, Inc.	AELS
Armour Transport Inc: Armour Flatbed	AMOT
Armour Transport Inc: Armour Other	AMOT
Armstrong Transportation & Trailers LLC	AHOT
Army and Air Force Exchange Service: AYAF	AYAF
Arnold Bros. Transport Ltd.: Deck Division	ARNB
Arnold Bros. Transport Ltd.: Dry & Reefer Division	ARNB
Arnold J. Thomas & Son Inc.: Curtain Van	THAJ
Arnold J. Thomas & Son Inc.: Dry Van	THAJ
Arnold Transportation Services, Inc.	ANTT
Arpin Van Lines, Inc.	N/A
Arrow Freight Management, Inc.	AWFM
Arrow Freight Systems, Inc.	AWFH
Arrow Reload Systems Inc.: AB	N/A
Arrow Reload Systems Inc.: BC	N/A
Arrow Straight Transport	AWSC
Arrow Transportation Systems Inc.: AB Bulk: Athabasca	ARWO
Arrow Transportation Systems Inc.: AB Bulk: Peace River	ARWO
Arrow Transportation Systems Inc.: AB: Grande Prairie	ARWO
Arrow Transportation Systems Inc.: BC Bulk: Kamloops	ARWO
Arrow Transportation Systems Inc.: BC Bulk: Quesnel	ARWO
Arrow Transportation Systems Inc.: Mining: Ashcroft	ARWO
Arrow Transportation Systems Inc.: Mining: Chilliwack	ARWO
Arrow Transportation Systems Inc.: Mining: Stewart	ARWO
Art Heavy Haul, Inc	AHHA
Artur Express, Inc.: Artur Express	ATUR
Arturos Transport Inc	N/A
ASAP Express & Logistics Inc.	ASXP
asf intermodal llc	ASFS
Ashley Distribution Services, LTD.	AHLY
ASL Transportation Group, Inc.	AXGN
Asphalt Express Enterprises, LLC	ASKH
ATL Courier, Inc.: BT / TT	ATQE
ATL Expedited Freight LLC	AEFG
Atl Transport, Inc.	ATBV
Atlantic Bulk Carrier Corporation	ABCV
Atlantic Express Trucking Corporation	AETG
Atlantic Trucking Co., Inc.	ALUC
Atlas Trucking Company LLC	ALQK
ATP Logistics, Inc.	AAIG
ATS Specialized, Inc	ASSM
ATS, INC.	AQSM
Augusta Transportation, Inc.	AUGT
Auto Carrier Express, Inc.	AUCF
Auto Transport Masters, Inc.	AXMJ
Autobahn Freight Lines Ltd.	AUBA
Automated Logistics & Transportation, Inc	AQTW
Autumn Transport, Inc.	AUMN
Averitt Express	AVRT
AVIS DELIVERY EXPRESS	N/A
Avon Trucklines Inc.	AVKF
AX Express Inc: Flatbed department	AXXR
Ayala's Trucking	N/A
B & D Motors, Inc.	BDMW
B&B Logistics, Inc.	BBLM
B&B Transport, Inc.	BBXA
B&H Systems	BHSY
B&L Transport, Inc.	BLTI
B&W Cartage Co., Inc.	BAWC
B-H Transfer Co: Domestic Operations	BHTF
B-H Transfer Co: Import/Export Operations	BHTF
B-LAK Express LLC	BEBL
B. A. Trucking	SPBL
B. T. Trucking, Inc.	BTTH
B.A.H. Express inc	BAXS
B.R. Williams Trucking, Inc.	BRWW
B.S.D Linehaul Inc.	BSJD
Badger Federal Services, Inc.	BFES
Badger State Western,Inc.: Badger State Western,Inc.	BDGW
Baga Transport Inc.	BAGR
Bailey Trucking Inc.	BYUN
Baker Trucking Inc.: Baker Trucking Inc.	BABV
Baldwin Transfer Co. Inc: Baldwin Transfer Co Inc / Mobile,AL Intermodel	BWIF
Baldwin Transfer Co. Inc: Baldwin Transfer Co. Inc/ Mobile,AL	BWIF
Barber Trucking, Inc.: Flatbed	BBKR
Barber Trucking, Inc.: Specialized	BBKR
Barlow Truck Lines	BARN
Barnes Transportation	BTTE
Barr-Nunn Transportation, Inc.	BNUN
Barrett Directline Delivery Service's Inc.	BDDS
Baton Rouge Cargo	BRBF
Baxter Healthcare	C007
Bay and Bay Transportation	BAYN
Bay Lines, Inc.	BYLM
Bay Shippers Delaware Fleet	BAPP
BBC Express LLC	BBCS
BBW Holdings, Inc: Mich Fleet	BBWI
BCJ Trucking Inc.	BCJ1
BCP Transportation, Inc	BCPB
BD Transportation, Inc	BDTD
Beacon Transport, LLC	BCNT
Bear Cartage & Intermodal, Inc.	BCRG
Bear Trucking, Inc.	BERO
Beckmann Distribution Service, Inc.	BCKD
Beco, Inc.	BECC
Bee-Line Delivery Service	BEFO
Bee-Line Delivery Southwest,Inc.	BLVY
Beemac Trucking, LLC	BEMC
Beimel Transportation Inc: BTI	BMTS
Bell City Transport Systems 2012 Inc.	BCYT
Bella Transport Inc	BLXW
Bellerud Transport, Inc.	BDRF
Belue Trucking Company, Inc.	BLTG
Bengal Transportation Services LLC: BTS	BNGP
Benjamin Mazer Trucking, Inc.	MAZR
Benjamin Moore & Company	MBCV
Bennett Motor Express LLC	BGME
Benny Whitehead Inc	WHBN
Benore Logistic Systems, Inc.	BLSY
Berry & Smith Trucking Ltd	BNSL
Bert E. Jessup Transportation, Inc.	JEBN
Best Services Group, Inc: Best Cartage, Inc	BSCG
Best Services Group, Inc: Best Dedicated, LLC	BSDL
Best Services Group, Inc: Best Specialized, LLC	HAWT
Best Transportation LLC	BESR
Best Way Expediting, LLC	BSWW
Bestway Express, Inc.	BWEP
Bestway Systems Inc	BSWS
Bett-A-Way Beverage Distributors, Inc.	BAWB
BIA GROUP INC: FTL	N/A
Biagi Bros., Inc.	BIAP
Big Freight Systems Inc	BFSE
Big G Express, Inc	BGXP
Big M Transportation: Intermodal	BMAV
Big M Transportation: Truck Load	BMAV
Bigg Wrigg Trucking & Logistics LLC	N/A
Bilbo Transports Inc.	BIBT
Bill Davis Trucking, Inc.	DASB
Bill Wilson Trucking LLC	WBTC
Billy Barnes Enterprises, Inc.	BBEH,BBEG
Billy Cook Trucking	N/A
Bimbo Bakeries USA: BBU	N/A
Birchwood Transport , Inc.	BHWT
Bisom Truck Line, Inc.	BISM
Bison Transport, Inc.: Dry Van	BIOS
Bison Transport, Inc.: Reefer	BIOS
BJK Transport LLC: BJK Transport LLC	BJKC
BK Trucking Co. Inc.: BKCO	BKCO
Black Horse Carriers Inc.: Master	N/A
Blackhawk Transport, Inc.	BLKW
Blue and Grey Transport, LLC.	BGTY
Blue Eagle Logistics, Inc.	BEGJ
Blue Land Transportation Inc.	BLNO
Blue Line Foodservice Distribution	BLXD
Blue Streak Courier Service, Inc.	BKCG
Blue Trans Logistics Inc.	BUET
Blue Water Trucking Inc.:	BUWG
Bluefield Transport LLC	BLFB
Bluegrass Trucking Inc.	BUGK
BlueLinx Corporation	BXCO
BMM Transportation Inc: BMM Transportation Inc	BMMT
Boatman Express	BTXB
Boaty's Transport Inc.	BTYP
Bob Green Trucking	GRIV
Bob's Transport & Storage Co., Inc.	N/A
bogarin trucking inc.	BOGD
Bogdan Delivery LLC	N/A
Boise White Paper LLC: Dedicated Dry Van	BCTO
Boise White Paper LLC: Heavy Haul Flatbed	BCTO
Boise White Paper LLC: Heavy Haul Wood Residual	BCTO
Bold Transportation Inc.	BTNK
Bolt Express	BXPE
Bolt Express Truckload	BETY
Bolus Freight Systems	BOUF
Booth Delivery Service	NA
Border Connect Freight Services Inc.	BCNF
Bowie Transportation Co., Inc.	BWTO
Boyd & Sons, Inc.	BOYA
Boyd Bros Transportation, Inc.	BODB
Boyd Special Commodities, Inc.	BSCM
Boyle Transportation: BYLE	BYLE
Bozzuto's Inc.	CSIO
BP Express, Inc.	BPXP
Brach Trucking Inc	BLBW
Braun's Express Inc.	BRXS,BXID
Brendamour Moving & Storage, Inc: Delivery Service	BMVQ
Brenke Logistics LLC	BKLD
Brent Redmond Transportation, Inc.	RBRA
Brian Kurtz Trucking Ltd.	KBTL
Bridgestone Americas Tire Operations, LLC	BGFI
Bright Sky Transport LLC	BSYJ
Britton Transport Inc	BITD
Briway Carriers Inc.	BRWY
Brock Express, Inc.	BKXY
Brokings Transport Inc: Local	BROK
Brokings Transport Inc: Long Haul	BROK
Brookshire's Grocery Company: BGC	BGC1
Brown Line, LLC	BRWH
Brown Logistics, Inc.	BNIN
Brown Trucking Company	BRJF,BTFH
Brownmiller Leasing & Transportation Inc.	BLTS
Bruce R. Smith Limited	SBRL
Bryan Truck Line, Inc.	BRYN
BSP Trans., Inc.	BSPT
BTC Express Inc.	BTCE
Buchanan Hauling & Rigging, Inc.	BHRI
Bud's Enterprises, Inc.	BDNP
Buddy L Transport	BDYL
Buesing Bulk Transport, Inc.	BBOT
Building Systems Transportation: Flatbed Division	BSYS
Building Systems Transportation: Van Division	BSYS
Bulk Express Logistics Inc.	BKEN
Bulk or Liquid Transport, LLC (BOLT)	BKCD
Bulk Service Transport, Inc. dba James J. Williams: Hopper, Bulk & Tanker Fleet	BSVP
Bulkmatic Transport	BULJ
Bulldog Hiway Express	BHEQ
Burns Motor Freight, Inc.	BRRN
Butler Transport, Inc.	BTAK
BXT, Inc.	BXTS
Bynum Transport, Inc.	BYUM
Byron L. Lang, Inc	LGBL
C & F Moving LLC	N/A
C Bar P Trucking, Inc.	CBPT
C Blackburn Inc	N/A
C H Hall Trucking Inc.	HCHG
C R Dutton Transportation, LLC	DUCR
C&A Transportation Inc.	CAXT
C&J Bark Haulers Inc	CJBH
C&K Trucking, LLC	CKKI
C&L Transport: Trucking	CLJW
C. C. Jones, Inc	JCCD
C.A.R. Transport, Inc.	CRGH
C.A.T. Inc.: C.A.T. inc.	S/O
C.H. Express Inc.	CHES
C.L.Richert Trucking Co Inc: asset based contract carrier	RTOH
C.O.R.E. Trucking World Wide LLC	CORV
C.R. England: Truckload	ENGC
C.R. Vlora, Inc.	CRVE
Cadence Premier Global, Inc: Dry Van Division	CPGB
Caine Transfer Inc	N/A
CalArk, Inc.	CALJ
Caledonia Haulers LLC	CADH
Calex ISCS, Inc.	CLXE
California Cartage Express: Dray	CCXP
California Multimodal LLC	CFMM
California Overland, Ltd.	CAOV
Camero Transport Inc.	CPBS
Camionnage CP Inc.	CMNA
Campbell's Express	CAAE
Can-Am West Carriers Inc.	CAWD
Canada Cartage System LP: CCSLP	CACG
Canada Road Carrier Ltd.	CRCD
Canadian Freightways: CFWL	CFWL
Canadian National Transportation Limited	CQNL
Canal Cartage Company: Drayage	CAQC
Canal Cartage Company: Dry Van	CAQC
Canamex Carbra Transportation Services Inc.	CXTY
Canex Freight Systems Inc.	CXFN
Cannon Express of the Southeast, LLC	CXPI
Cano and Sons Trucking, LLC	CAQM
Cap Logistics	CPFE
Capable Express LLC	CXSY
Capitol Express Lines Inc	CXLH
Caravan Logistics Inc.	CVLG
Carboro Carrier Group LLC	CCUJ
Cardinal Health 200, LLC	CHWK
Cardinal Health Canada	N/A
Cardinal Logistics Management Corporation: Cardinal Dedicated	CCNI
Cardinal Transport, Inc.	CRDT
Carey Leasing Ltd.: Carey Leasing Ltd	CYLD
Cargo Solution Express Inc	CHRY
Cargo Transporters	CGOR
Carleton Transport Service, Inc	CQVI
Carlisle Carrier Corp.	CIEQ
Carman, Inc.	CNID
Carmen Pacheco Transportation LLC: CPT	PHCO
Carolina Southern, Inc.	CRLH
Carolina Tank Lines, Inc.	CTAQ,CTAY
Carrier Logistics, LLC.	CLJY
Carrier One Inc.	CONH
Carroll Fulmer Logistics Corporation	FCLC
cartage xperts co: tempertaure controlled	CXCI
Carter Express Inc.: Carter Express Inc.	CTID
Cascade Carriers L.P.	CCLY
Caspers Distribution	CPDF
Cassens Transport Co.	CASF
CCC Transportation, LLC	CCNC
CCS Transportation, Inc.	CCSQ
CCT Auto Trans Inc.	CAUW
CCV Transport Express Inc	CCVE
CDN Logistics, Inc.	CQDN
CDS Transport Agent Group, Inc	CTAC
CDT USA Inc.	CUST
Cedarpoint Trucking, Inc.	CEJT
Celadon Group, Inc.: Celadon Trucking	CDNK,CNGV,CELU,CDER,CELZ,CDFK,OSTP
Centennial Southern Express, Inc.: Centennial Southern Express, Inc.	CSXA
Centennial Warehousing	CWHG
Central Coast Transport Inc.	CQNP
Central Freight Lines, Inc.	CENT
Central Nebraska Transload, Inc.	CNTY
Central Oregon Truck Company	CEGT
Central Pennsylvania Transportation, Inc	CPYL
Central States Distribution Service	CSTS
Central Transport, LLC	CTII
Central Trucking, Inc.	CNLR
Centurion Auto Transport, Inc.	CAQH
Centurion Trucking Inc.: Centurion	CUUG
Certified Freight Logistics, Inc.	CERT
CEVA Logistics, U.S.: cout	COUT
Challenger Freight Systems, Inc	CGFR
Challenger Motor Freight Inc.: Challenger Bulk	CMFH
Challenger Motor Freight Inc.: Special Commodities	CMFH
Challenger Motor Freight Inc.: Vans	CMFH
Champion Auto Carriers, Inc.	CHPR
Champion Transportation Services, Inc.	CTQH
Charger Logistics Inc.	CLIJ
Charles Jeffries & Son Trucking, Inc	JFCT
Charles V Brown Trucking	BWCH
Chase Transport Group LLC	CTGP
Chaser Transport	CHXP
Cheema Freightlines LLC	N/A
Cheeseman LLC	CJRQ
Chefas Fleet Services	N/A
Cherokee Logistics Inc	CKLG
Chester Cartage Ltd.	CSCA
Cheyenne Express Inc	CHYN
Chief Express, LLC	CHXF
Child Truck Line, Inc.: Child Truck Line, Inc.	CHDN
Chizek Transport, Inc.	CHZK
Chohan Transportation, Inc.	COHD
Christenson Transportation, Inc.	CHNS
Churchill Transportation Inc.	CHUH
Cimarron Express, Inc.	CIEG
Circle B Enterprises, LLC	CBKD
Circle Logistics, Inc	CLNC
Circle T Logistics, Inc.	CRCJ
Citi-Cargo & Storage Co. Inc.	CUXM
Citrus Systems Madison, LLC	CSMF
City Dash, Inc.	CTYD
Clancy Relocation & Logistics	CLMY
Clanton Trucking, Inc.	CTOB
Clark Transfer Inc	CLKT
Clarke Road Transport Inc	CKRT
Classic Carriers Inc	CCRK
Classic Transportation Services, Inc.	CTSP
Clausen Supply Co dba Clausen Warehousing	CSWH
Cliff Viessman, Inc.: Live Bottom	VIES
Cliff Viessman, Inc.: Pneumatic	VIES
Cliff Viessman, Inc.: Reefer	VIES
Cliff Viessman, Inc.: Tanker	VIES
Climate Express, Inc.	CLXD
Clinton's Ditch Cooperative Co., Inc.	CDPY
CloudBlue, An Ingram Micro Company	CBGI
CLT Air Freight	CAFA
CMAC Transportation, LLC	CQQM
CND Trucking, Inc.	CDGK
CNM Enterprises, Inc., dba White Stone Logistics	WLOC
Coach Transport, Inc.	COCH
Coast to Coast Logistics, LLC	COGF
Coastal Carriers Truck Lines Inc	CCTN
Coastal Pacific Xpress Inc.	CXPF
Coca-Cola Refreshments	N/A
Codysur Expedite, LLC	CYSA
Coe Transfer, Inc.	CTNE
Coldliner Express, Inc.	COLD
Collins Trucking Co., Inc.	CKCJ
Colonial Cartage Corporation: Fleet Trucks	CCGA
Colonial Freight Systems Inc.	CFSM
Columbian Distribution Services, Inc.	CSNT
Combined Transport, Inc.: Blackwell Consolidation, LLC.	BWCD
Combined Transport, Inc.: Combined Transport, Inc.	CMBD
Commodity Carriers Inc	COOT
Commodore Express , INC	CMEE
Compton Transfer & Storage	COTS
Comstar Enterprises, Inc	CSEP
Con-Way Truckload dba XPO Logistics	CTRQ
Conard Transportation, Inc.: Conard Transportation	CDPN
Concare Logistics Inc	CGIV
Condor Express Inc	CNXD
Connell Transport International Inc.	CTIO
Connors Transfer Limited	CSFQ
Container Connection*	CCOO
Container Transfer Corp	CTCR
ContainerFreight/EIT, LLC	CFRT
Continental Expedited Services Inc	CESF
Continental Express, Inc.	COXS
Continental Group LLC	CFHM
Contract Transport Services, LLC	COTA
Contract Transportation Systems, Co. (Sherwin Will: 188891	CTSM
Contrans Group Inc.: Brookville Carriers Flatbed	BCFG
Contrans Group Inc.: Contrans Flatbed Group	CFGO
Contrans Group Inc.: Glen Tay Transportation	TAYP
Contrans Group Inc.: Laidlaw Carriers Van	LCVG
Contrans Group Inc.: Tri-Line Carriers	TLNC
Contrans Group Inc.: Tripar Transportation	TPTT
CONUS Transportation Inc	CNUT
Convenience Transportation, LLC: CVRO	CVRO
Convoy Systems LLC	CNVS
Cool Runnings Logistics, Inc	CRUJ
Cooper Freight Service, Inc.	COFP
Cope Bestway Express Inc.	COPB
Copeland Trucking	CPDK
Copper Express, Inc.	CPPR
Corcoran Trucking, Inc.: Flatbed	COKH
Corcoran Trucking, Inc.: Temperature Control	COKH
Cordell Transportation Company, LLC.	CDEL
CoreTrans, LLC	COTN
Corkery Transport, Inc.	CKYT
Corporate Courier, Inc.	CCRN
Corriher Trucking, Inc.	CRHN
Country Transport	COTO
Covenant Transport	CVEN
Covered Transportation, LLC.	CVXI
Covey Auto Express Inc.	CUXC
Cowan Systems, LLC	CWAS
Cowboy Expedited Services LLC	CUES
Cowen Truck Line, Inc.: Green Fleet	CTOJ
Cowen Truck Line, Inc.: Standard Fleet	CTOJ
Cox Transfer, Inc.: Van & Chassis	CXTQ
Cox Transportation Services, Inc.	CXTB
CPS Express Inc.: CPS Express Contracted Line Division	CPSE
CPS Express Inc.: CPS Express Contracted Local Division	CPSE
CPS Express Inc.: CPS Express Line Division	CPSE
CPS Express Inc.: CPS Express Local Division	CPSE
Crane Transport Inc	CRNB
Crawford Trucking, Inc.	CRAW
Crete Carrier Corporation: Crete Carrier (Dry Van Division)	CRCR
Crete Carrier Corporation: Hunt Transportation (Flatbed Division)	HUNA
Crete Carrier Corporation: Shaffer Trucking (Temperature Control Division)	SHAF
Crosby Trucking Service, Inc.	CSBI
CrossCountry Courier, Inc.	CCYQ
CrossGlobe Transport, LTD	CGBD
Crowley Trucking, Inc.	CYWB
Crown Auto Transport, Inc.	CAXK
Crown Xpress Transport, Inc.	CXPJ
CRST Dedicated Services, Inc.	CRFR
CRST Expedited, Inc.	CRPS
CRST Specialized Transportation	SPCG
Crum Trucking Inc.	CMTK
CRW, Inc.: CRW, Inc.: For Hire	CRWH
CRW, Inc.: CRW, Inc.: Mulch Yard	CRWH
CSI of Iowa, Ltd.	CSIQ
CT Transportation, LLC	CTLL
CTC Trucking Inc	CKNI
Curry's Transportation Services	CUPV
Custom Carrier, Inc.	CUSK
Custom Transfer Inc	CTQI
Customer Service Quality Transportation	CSQS
CVS Transportation LLC.	N/A
Cypress Truck Lines, Inc.	CYPR
Cypress Truck Lines, Inc.: Low Country Loading Service	N/A
D & E Transport, LLC	DNET
D&D Sexton Inc.	SXDD
D&D Transportation Services Inc	DDTA
D&G Express Service Ltd.	DAGE
D&G Transportation, Inc.	DNGP
D&M Transportation Solutions, LLC	DMRA
D. M. Bowman Inc.	BOMN,BOMD
D. P. Curtis Trucking, Inc.: Maxi	CSUG
D. P. Curtis Trucking, Inc.: Single	CSUG
D. Sample Express, Inc.	N/A
D.E.H. Trucking Inc.	DEHK
D.L. Landis Inc.	LABG
D.M.T. Services, Inc.	DMTV
D.W. Morgan LLC	MRAF
D/C Transport, Inc	DCRN
Dabco Transportation Inc	DBCT
Dahlquist Trucking Inc.: Dahlquist Trucking	DHQT
Daily Express, Inc.	DAIC
Dairyland Transportation, LLC	DYLP
Dakota Lines Inc	DKLI
Dan Vorpahl Transit Inc	N/A
Dancor Transit, Inc.	DNMR
Dandy Service Corporation	DNDS
Danny Herman Trucking Inc	HDTI
DaRan, Inc.	DRIN
Dart Transit Company	DART,DARN,DARD
Dart Trucking Company, Inc.: Private Fleet CCC	DRTT
Daryl Thomason Trucking, Inc.	THDY
DASH Transportation, LLC	DHTT
Daum Trucking, Inc.	DMKP
David W Frey	FYDW
Davidson Farms of Creston, Inc.	DFCR
Davidson Surface/Air	DSAI
Davis Express, Inc.	DATJ
Davis Transfer Co. Inc	DTNF
Davis Trucking, LLC	DVLC
Daybreak Express, Inc.	DBKE
Dayton Freight Lines, Inc.	DAFG
daytona freight systems inc	DFST
DCM Transport, Inc.	DCMT
DDI Transportation, Inc.: Intermodal	DDIV
DDI Transportation, Inc.: Truckload	DDIV
De Jong Enterprises Inc.	DJWM
deBoer Transportation Inc	DETR
Debrick Truck Line Company	DEVR
Decker Truck Line: Flatbed	DEKR
Decker Truck Line: Refrigerated	DEKR
Dedicated Farms, LLC	N/A
Dedicated Fleet Systems, Inc.	DDFS
Dedicated Logistics Inc: 12855637	DCLG
Dedicated Logistics Services, Inc.	DLGV
Dedicated Logistics, LLC	DDOG
Dedicated Systems, Inc.	DDSW
Dedicated Transport LLC: Food Service	DEDI
Dedicated Transport LLC: Mixed	DEDI
Dedicated Transport LLC: Tanker	DEDI
Dedicated Transportation Solutions Inc.	DSAE
Dedicated Transportation Systems LLC	DTNY
Dee King Trucking, LP	DKTI
Delhaize America Transportation LLC	DHZA
Delta Automotive Services, Inc.	DMVO
Delta Freight Systems LLC	DFGL
Delta Trans LLC	DTNG
Deluxe Auto Carriers Inc. dba Excel Transporting &: Deluxe Auto Carriers Inc. dba Excel Transporting	DEAA
DeMase Trucking Co., Inc.	DEME
Demiri Transportation LLC	DTNI
Denney Transport, LTD	DTLP
Dennis R Hilker Trucking, Inc	HLKD
Denton Cartage Company, Inc.	DCGQ
Denver Assembly, INC	N/A
Deol Road Carrier Ltd.	DRCA
Dependable Hawaiian Express - Big Island, Inc.	DHX1
Dependable Highway Express, Inc.	DPHE
DES CLAW LLC	CWFE
Desert Coastal Transport, Inc.	DSCT
Desert Star Transportation LLC	DSRP
DeWitt Bros., Inc.	DWBT
Dhindsa Group of Companies, Inc: dgcinc	DGCO
DHL Express USA	N/A
DHX - Dependable Hawaiian Express Oahu	N/A
DHX - Dependable Hawaiian Express, Inc. Mainland	DXXI
DHX Maui, Inc.	DHX1
Diamond Logistics LLC	N/A
Diamond Transportation Logistic Inc	DMDQ
Diamond Transportation System, Inc.	DIAT
Dibble Trucking Inc.	DBBL
Dick Harris & Son Inc.	HDNS
Dick Lavy Trucking, Inc.: Dick Lavy Trucking, Inc.	LVDT
Dickinson Fleet Services, LLC	N/A
Dicom Transportation Group Canada Inc.	GOGI
Diego A. Gracia	GADG
Diel Jerue Logistics, Inc.: Assets	DJLC
Dill-Elam, Inc. dba City Service: Dry Van	CIYS
Dillon Transport, Inc.	DTIT
Dillon Transportation, LLC	DLNT
Dino's Trucking, Inc.: DINO	DINO
Direct Drive Express Inc.: Direct Drive Fleet	DDXI
Direct Motor Freight,Inc.	DCFR
Direct Service Transport, Inc.	DIRS
Direct Transport	DRER
Direct Transport Services, Inc.	DITV
Distribution Solutions Inc, DSI	DIQS
Distribution Technology Inc, DBA PDC Trucking	PDCT
Ditzfeld Transfer, Inc.	DITE
Diversified Automotive, Inc.	DVAI
Diversified CPC International Inc.	DCPC
Diversified Transfer and Storage	DTSB
Divine Enterprises: Refrigerated Carrier	DVNP
Dixon Auto Transport, Inc	DXON
DJ Delivery Service LLC	N/A
DK Express	DEXG
DK Transport Inc.	DKXC
DKP Express	DKPA
DLM Trucking LLC	DLMJ
DMB Transportation Service Inc.: Expedite Fleet	DMBP
DMTC, Inc.	DSMT
DNJ	DLIJ
DNS Transportation Inc	DNST
Dohrn Transfer Company, LLC: 169753	DHRN
Dolphin Line, Inc.	DLPL
Dolphin Transport Ltd.	DPHN
Dominion Dedicated Logistics Inc.	DODL
Domino's Pizza LLC	DPLL
Don Hummer Trucking Corp.: HUMD Truckload	HUMD
Don's Trucking	DONK
Done Right Trucking Inc dba Redgo	DRGH
Dorn's Delivery & Transfer Inc.	DOEO
Dot Line tarnsportation	DOLR
DOT Transportation	DTNR
Doug Andrus Distributing LLC: Flatbed	ADNS
Doug Andrus Distributing LLC: Heavy Haul Flatbed	ADNS
Doug Andrus Distributing LLC: Hopper Bulk	ADNS
Doug Andrus Distributing LLC: Hopper/Flat Convertible	ADNS
Doug Andrus Distributing LLC: Refridgerated and Dry Van	ADNS
Doug Andrus Distributing LLC: Refridgerated Heavy Haul	ADNS
Doug Bradley Trucking, Inc.	BDGT
Doug Coleman Trucking Ltd.	CDGG
Dowell Transport Inc.	DWTB
Doyle Sims & Sons Trucking, Inc.	DOYS
Dreisbach Enterprises: Dreisbach Freight	DABE
Drew-Massa Transportation LLC	DMTN
Dreya's Trucking Company, Inc	N/A
DRG Trucking Inc.	DRGN
Drive Logistics Ltd.	DRLT
Drive Xpress Inc.	DXPC
Driver Trucking Inc.	DRIV
DSC Logistics: DSC Logistics	DRSC
DSS Express Inc.	D93
Dss Transport, Inc.	DSSA
DST Express, Inc.: DST Express, Inc. Local	DSXL
DST Express, Inc.: DST Express, Inc. OTR	DSXL
DTL Transportation Inc.	DICT
Dunavant Sea Lane Express, LLC	DSBI
Dunavant Trans Gulf Transportation, LLC	DTHJ
Duncan and Son Lines, Inc.	DNSL
Dupre' Logistics, LLC: Dedicated	DUPR
Dupre' Logistics, LLC: Gasoline	DUPR
Dupre' Logistics, LLC: Shale	DUPR
Duran Freight Corporation	DRAN
Dutch Maid Logistics	DUTM
Dynamic Express	DYXI
Dynamic Transit Co.	DYCT
Dynevor Express (2010) Ltd.	DYXD
E & B Transport INc	EBTQ
E & T Trucking, LLC	N/A
E-Line Express Inc.	ELPC
E-Transport Carriers, Inc.	ETCA
E-Transport Group, Inc.	ETGQ
